time,intent,position,confidence,coverage,pan_full,yellow
2158587.15,DIG,DIRT,0.55,0.70,False,0.00
2158587.57,DIG,DIRT,0.49,0.62,False,0.00
2158588.00,DIG,DIRT,0.46,0.60,False,0.00
2158588.44,DIG,DIRT,0.83,0.83,False,0.00
2158588.89,DIG,UNKNOWN,0.00,0.21,False,0.00
2158589.30,DIG,UNKNOWN,0.00,0.04,False,0.00
2158589.70,DIG,UNKNOWN,0.00,0.04,False,0.00
2158590.11,DIG,DIRT,0.80,0.80,False,0.00
2158590.53,DIG,UNKNOWN,0.00,0.33,False,0.00
2158590.94,DIG,DIRT,0.76,0.76,False,0.00
2158591.36,DIG,DIRT,0.51,0.52,False,0.00
2158591.76,DIG,DIRT,0.51,0.52,False,0.00
2158592.17,DIG,DIRT,0.53,0.53,False,0.00
2158592.62,DIG,DIRT,0.57,0.58,False,0.00
2158593.04,DIG,DIRT,0.64,0.64,False,0.00
2158593.46,DIG,DIRT,0.60,0.60,False,0.00
2158593.87,DIG,DIRT,0.41,0.41,False,0.00
2158594.31,DIG,DIRT,0.49,0.54,False,0.00
2158594.73,DIG,DIRT,0.56,0.57,False,0.00
2158595.17,DIG,UNKNOWN,0.00,0.22,False,0.00
2158595.56,DIG,DIRT,0.87,0.87,False,0.00
2158595.96,DIG,UNKNOWN,0.00,0.09,False,0.00
2158596.38,DIG,UNKNOWN,0.00,0.14,False,0.00
2158596.78,DIG,DIRT,0.51,0.54,False,0.00
2158597.18,DIG,DIRT,0.68,0.69,False,0.00
2158597.59,DIG,DIRT,0.46,0.46,False,0.00
2158597.99,DIG,DIRT,0.38,0.38,False,0.00
2158598.39,DIG,DIRT,0.38,0.38,False,0.00
2158598.79,DIG,UNKNOWN,0.00,0.29,False,0.00
2158599.20,EMPTY,UNKNOWN,0.00,0.26,True,0.96
2158603.47,EMPTY,UNKNOWN,0.00,0.03,True,0.96
2158614.05,DIG,DIRT,0.34,0.44,False,0.00
2158614.47,DIG,DIRT,0.28,0.63,False,0.00
2158614.92,DIG,UNKNOWN,0.11,0.65,True,0.70
2158615.15,EMPTY,DIRT,0.20,0.64,True,0.96
